iter	Passed	Remaining
0	128	127936
1	132	66333
2	137	45584
3	142	35359
4	148	29489
5	153	25396
6	157	22390
7	163	20217
8	167	18411
9	171	17022
10	176	15873
11	180	14871
12	184	14010
13	188	13295
14	192	12661
15	196	12059
16	199	11512
17	201	10993
18	204	10535
19	206	10102
20	208	9702
21	210	9343
22	212	9025
23	214	8722
24	216	8442
25	218	8177
26	220	7936
27	264	9167
28	267	8947
29	269	8714
30	271	8496
31	274	8289
32	276	8103
33	281	8007
34	284	7831
35	286	7662
36	298	7759
37	300	7595
38	301	7437
39	303	7286
40	305	7141
41	307	7008
42	309	6882
43	311	6774
44	313	6655
45	316	6563
46	319	6485
47	323	6410
48	325	6322
49	328	6241
50	330	6151
51	332	6068
52	334	5982
53	337	5907
54	339	5824
55	340	5743
56	342	5664
57	344	5590
58	346	5518
59	347	5448
60	349	5384
61	351	5321
62	353	5258
63	355	5195
64	357	5137
65	358	5079
66	360	5022
67	362	4968
68	364	4918
69	366	4867
70	368	4816
71	369	4767
72	371	4719
73	373	4672
74	375	4626
75	376	4582
76	378	4538
77	380	4495
78	382	4454
79	383	4413
80	385	4372
81	387	4333
82	388	4286
83	389	4250
84	391	4214
85	393	4180
86	395	4146
87	396	4113
88	398	4080
89	400	4048
90	402	4018
91	404	3988
92	405	3958
93	407	3929
94	409	3900
95	411	3872
96	412	3844
97	414	3816
98	416	3790
99	418	3766
100	420	3741
101	422	3716
102	423	3692
103	425	3667
104	427	3643
105	429	3620
106	431	3598
107	432	3575
108	434	3553
109	436	3531
110	438	3510
111	440	3489
112	441	3468
113	443	3448
114	445	3427
115	447	3406
116	448	3385
117	450	3367
118	452	3348
119	454	3330
120	455	3312
121	457	3291
122	459	3273
123	460	3256
124	462	3238
125	464	3221
126	465	3201
127	467	3186
128	469	3169
129	471	3152
130	472	3137
131	474	3122
132	476	3106
133	478	3090
134	480	3076
135	481	3061
136	483	3046
137	485	3031
138	486	3016
139	488	3003
140	490	2988
141	491	2971
142	493	2957
143	495	2944
144	497	2931
145	498	2918
146	500	2905
147	502	2893
148	504	2879
149	506	2867
150	507	2855
151	509	2842
152	511	2829
153	513	2818
154	514	2806
155	516	2795
156	518	2783
157	520	2773
158	522	2762
159	524	2751
160	525	2737
161	527	2728
162	529	2717
163	531	2707
164	533	2698
165	534	2687
166	536	2677
167	538	2668
168	540	2659
169	542	2650
170	545	2643
171	547	2633
172	548	2623
173	550	2615
174	553	2608
175	555	2599
176	558	2595
177	560	2586
178	561	2577
179	563	2568
180	565	2560
181	567	2552
182	570	2545
183	572	2536
184	573	2528
185	576	2522
186	578	2514
187	580	2505
188	582	2498
189	584	2491
190	586	2483
191	588	2475
192	590	2470
193	592	2461
194	594	2453
195	596	2448
196	598	2441
197	600	2433
198	602	2426
199	605	2421
200	607	2414
201	609	2407
202	611	2400
203	613	2393
204	615	2387
205	617	2380
206	619	2375
207	622	2369
208	624	2361
209	626	2357
210	628	2350
211	630	2342
212	632	2337
213	635	2332
214	636	2325
215	638	2318
216	641	2313
217	643	2307
218	645	2301
219	647	2295
220	649	2290
221	651	2284
222	653	2278
223	655	2271
224	657	2264
225	659	2258
226	661	2252
227	663	2246
228	665	2241
229	667	2234
230	669	2227
231	670	2220
232	672	2214
233	674	2207
234	676	2201
235	678	2195
236	680	2190
237	682	2184
238	684	2178
239	686	2172
240	687	2166
241	689	2160
242	691	2153
243	693	2147
244	694	2140
245	696	2134
246	698	2128
247	699	2121
248	701	2115
249	703	2109
250	705	2104
251	706	2098
252	708	2092
253	710	2085
254	711	2079
255	713	2074
256	715	2068
257	717	2062
258	718	2056
259	720	2051
260	722	2045
261	724	2039
262	725	2034
263	727	2028
264	729	2023
265	731	2017
266	732	2011
267	734	2006
268	736	2001
269	738	1995
270	740	1990
271	741	1985
272	743	1979
273	745	1974
274	746	1969
275	748	1963
276	750	1958
277	752	1953
278	753	1948
279	755	1943
280	757	1938
281	759	1933
282	761	1928
283	762	1922
284	764	1917
285	766	1912
286	767	1907
287	769	1903
288	771	1898
289	773	1892
290	774	1888
291	776	1883
292	778	1878
293	780	1873
294	782	1869
295	783	1864
296	785	1859
297	787	1854
298	789	1850
299	790	1845
300	792	1840
301	794	1835
302	795	1830
303	797	1826
304	799	1821
305	801	1816
306	802	1812
307	804	1807
308	806	1802
309	807	1798
310	810	1794
311	811	1789
312	813	1785
313	815	1781
314	817	1776
315	818	1772
316	820	1767
317	822	1763
318	824	1759
319	826	1755
320	827	1751
321	829	1746
322	831	1742
323	832	1737
324	834	1733
325	836	1729
326	838	1725
327	840	1721
328	841	1716
329	843	1712
330	845	1708
331	847	1704
332	848	1700
333	850	1696
334	852	1692
335	854	1688
336	856	1684
337	857	1680
338	859	1676
339	861	1672
340	863	1668
341	864	1664
342	866	1659
343	868	1656
344	870	1652
345	872	1648
346	873	1644
347	875	1640
348	877	1636
349	880	1634
350	881	1630
351	883	1626
352	885	1623
353	887	1619
354	889	1615
355	891	1612
356	892	1608
357	894	1604
358	896	1600
359	898	1597
360	900	1594
361	902	1590
362	904	1586
363	906	1583
364	908	1579
365	910	1576
366	913	1575
367	915	1572
368	917	1568
369	919	1565
370	921	1561
371	923	1558
372	924	1554
373	926	1551
374	930	1550
375	933	1548
376	934	1545
377	936	1541
378	938	1538
379	940	1534
380	942	1531
381	944	1527
382	947	1526
383	949	1523
384	953	1523
385	955	1520
386	958	1517
387	960	1514
388	962	1511
389	964	1508
390	967	1506
391	969	1503
392	971	1500
393	974	1498
394	976	1495
395	978	1493
396	980	1489
397	982	1486
398	985	1484
399	988	1482
400	991	1480
401	993	1478
402	995	1475
403	998	1472
404	1000	1470
405	1004	1469
406	1006	1466
407	1008	1463
408	1010	1460
409	1012	1457
410	1014	1454
411	1017	1451
412	1019	1449
413	1022	1447
414	1024	1443
415	1026	1441
416	1029	1439
417	1033	1438
418	1038	1440
419	1041	1438
420	1043	1435
421	1048	1436
422	1050	1433
423	1053	1430
424	1055	1427
425	1057	1424
426	1059	1421
427	1062	1419
428	1064	1417
429	1066	1414
430	1068	1411
431	1070	1407
432	1073	1405
433	1076	1403
434	1078	1400
435	1080	1397
436	1082	1394
437	1084	1391
438	1086	1388
439	1088	1385
440	1092	1384
441	1094	1381
442	1096	1378
443	1099	1376
444	1101	1373
445	1104	1371
446	1106	1368
447	1108	1365
448	1110	1362
449	1112	1360
450	1115	1357
451	1117	1354
452	1119	1351
453	1122	1349
454	1125	1348
455	1127	1345
456	1129	1341
457	1131	1338
458	1132	1335
459	1134	1331
460	1136	1329
461	1138	1325
462	1140	1323
463	1142	1319
464	1144	1316
465	1146	1313
466	1148	1310
467	1150	1307
468	1152	1304
469	1154	1302
470	1156	1299
471	1158	1296
472	1160	1293
473	1162	1289
474	1164	1286
475	1166	1283
476	1168	1281
477	1171	1278
478	1172	1275
479	1174	1272
480	1176	1269
481	1178	1266
482	1181	1264
483	1184	1262
484	1186	1259
485	1187	1256
486	1189	1253
487	1191	1249
488	1193	1246
489	1196	1245
490	1198	1242
491	1201	1240
492	1203	1237
493	1204	1234
494	1206	1231
495	1208	1227
496	1210	1225
497	1212	1222
498	1214	1219
499	1216	1216
500	1218	1213
501	1220	1210
502	1222	1207
503	1223	1204
504	1225	1201
505	1227	1198
506	1229	1195
507	1231	1192
508	1232	1189
509	1234	1186
510	1236	1183
511	1237	1179
512	1239	1177
513	1241	1174
